latitud,longitud,probabilidad
10.729166669999996,-102.40000000000133,0.0739
10.729166669999996,-102.30000000000133,0.0739
10.729166669999996,-102.20000000000134,0.0739
10.729166669999996,-102.10000000000134,0.0739
10.729166669999996,-102.00000000000135,0.0739
10.729166669999996,-96.90000000000164,0.0117
10.729166669999996,-96.80000000000165,0.0117
10.729166669999996,-96.70000000000165,0.0117
10.729166669999996,-96.60000000000166,0.0117
10.729166669999996,-96.50000000000166,0.0117
10.829166669999996,-102.50000000000132,0.0739
10.829166669999996,-102.40000000000133,0.0739
10.829166669999996,-102.30000000000133,0.0739
10.829166669999996,-102.20000000000134,0.0739
10.829166669999996,-102.10000000000134,0.0739
10.829166669999996,-102.00000000000135,0.0739
10.829166669999996,-97.10000000000163,0.0117
10.829166669999996,-97.00000000000163,0.0117
10.829166669999996,-96.90000000000164,0.0117
10.829166669999996,-96.80000000000165,0.0117
10.829166669999996,-96.70000000000165,0.0117
10.829166669999996,-96.60000000000166,0.0117
10.829166669999996,-96.50000000000166,0.0117
10.829166669999996,-96.40000000000167,0.0117
10.929166669999995,-102.70000000000131,0.0739
10.929166669999995,-102.60000000000132,0.0739
10.929166669999995,-102.50000000000132,0.0739
10.929166669999995,-102.40000000000133,0.0739
10.929166669999995,-102.30000000000133,0.0739
10.929166669999995,-102.20000000000134,0.0739
10.929166669999995,-102.10000000000134,0.0739
10.929166669999995,-102.00000000000135,0.0739
10.929166669999995,-101.90000000000136,0.0739
10.929166669999995,-97.40000000000161,0.0117
10.929166669999995,-97.30000000000162,0.0117
10.929166669999995,-97.20000000000162,0.0117
10.929166669999995,-97.10000000000163,0.0117
10.929166669999995,-97.00000000000163,0.0117
10.929166669999995,-96.90000000000164,0.0117
10.929166669999995,-96.80000000000165,0.0117
10.929166669999995,-96.70000000000165,0.0117
10.929166669999995,-96.60000000000166,0.0117
10.929166669999995,-96.50000000000166,0.0117
10.929166669999995,-96.40000000000167,0.0117
11.029166669999995,-102.9000000000013,0.0739
11.029166669999995,-102.8000000000013,0.0739
11.029166669999995,-102.70000000000131,0.0739
11.029166669999995,-102.60000000000132,0.0739
11.029166669999995,-102.50000000000132,0.0739
11.029166669999995,-102.40000000000133,0.0739
11.029166669999995,-102.30000000000133,0.0739
11.029166669999995,-102.20000000000134,0.0739
11.029166669999995,-102.10000000000134,0.0739
11.029166669999995,-102.00000000000135,0.0739
11.029166669999995,-97.7000000000016,0.0117
11.029166669999995,-97.6000000000016,0.0117
11.029166669999995,-97.5000000000016,0.0117
11.029166669999995,-97.40000000000161,0.0117
11.029166669999995,-97.30000000000162,0.0117
11.029166669999995,-97.20000000000162,0.0117
11.029166669999995,-97.10000000000163,0.0117
11.029166669999995,-97.00000000000163,0.0117
11.029166669999995,-96.90000000000164,0.0117
11.029166669999995,-96.80000000000165,0.0117
11.029166669999995,-96.70000000000165,0.0117
11.029166669999995,-96.60000000000166,0.0117
11.029166669999995,-96.50000000000166,0.0117
11.029166669999995,-96.40000000000167,0.0117
11.129166669999995,-103.0000000000013,0.0739
11.129166669999995,-102.9000000000013,0.0739
11.129166669999995,-102.8000000000013,0.0739
11.129166669999995,-102.70000000000131,0.0739
11.129166669999995,-102.60000000000132,0.0739
11.129166669999995,-102.50000000000132,0.0739
11.129166669999995,-102.40000000000133,0.0739
11.129166669999995,-102.30000000000133,0.0739
11.129166669999995,-102.20000000000134,0.0739
11.129166669999995,-102.10000000000134,0.0739
11.129166669999995,-102.00000000000135,0.0739
11.129166669999995,-97.90000000000158,0.0117
11.129166669999995,-97.80000000000159,0.0117
11.129166669999995,-97.7000000000016,0.0117
11.129166669999995,-97.6000000000016,0.0117
11.129166669999995,-97.5000000000016,0.0117
11.129166669999995,-97.40000000000161,0.0117
11.129166669999995,-97.30000000000162,0.0117
11.129166669999995,-97.20000000000162,0.0117
11.129166669999995,-97.10000000000163,0.0117
11.129166669999995,-97.00000000000163,0.0117
11.129166669999995,-96.90000000000164,0.0117
11.129166669999995,-96.80000000000165,0.0117
11.129166669999995,-96.70000000000165,0.0117
11.129166669999995,-96.60000000000166,0.0117
11.129166669999995,-96.50000000000166,0.0117
11.229166669999994,-103.20000000000128,0.0739
11.229166669999994,-103.10000000000129,0.0739
11.229166669999994,-103.0000000000013,0.0739
11.229166669999994,-102.9000000000013,0.0739
11.229166669999994,-102.8000000000013,0.0739
11.229166669999994,-102.70000000000131,0.0739
11.229166669999994,-102.60000000000132,0.0739
11.229166669999994,-102.50000000000132,0.0739
11.229166669999994,-102.40000000000133,0.0739
11.229166669999994,-102.30000000000133,0.0739
11.229166669999994,-102.20000000000134,0.0739
11.229166669999994,-102.10000000000134,0.0739
11.229166669999994,-98.20000000000157,0.0117
11.229166669999994,-98.10000000000157,0.0117
11.229166669999994,-98.00000000000158,0.0117
11.229166669999994,-97.90000000000158,0.0117
11.229166669999994,-97.80000000000159,0.0117
11.229166669999994,-97.7000000000016,0.0117
11.229166669999994,-97.6000000000016,0.0117
11.229166669999994,-97.5000000000016,0.0117
11.229166669999994,-97.40000000000161,0.0117
11.229166669999994,-97.30000000000162,0.0117
11.229166669999994,-97.20000000000162,0.0117
11.229166669999994,-97.10000000000163,0.0117
11.229166669999994,-97.00000000000163,0.0117
11.229166669999994,-96.90000000000164,0.0117
11.229166669999994,-96.80000000000165,0.0117
11.229166669999994,-96.70000000000165,0.0117
11.229166669999994,-96.60000000000166,0.0117
11.329166669999994,-103.40000000000127,0.0739
11.329166669999994,-103.30000000000128,0.0739
11.329166669999994,-103.20000000000128,0.0739
11.329166669999994,-103.10000000000129,0.0739
11.329166669999994,-103.0000000000013,0.0739
11.329166669999994,-102.9000000000013,0.0739
11.329166669999994,-102.8000000000013,0.0739
11.329166669999994,-102.70000000000131,0.0739
11.329166669999994,-102.60000000000132,0.0739
11.329166669999994,-102.50000000000132,0.0739
11.329166669999994,-102.40000000000133,0.0739
11.329166669999994,-102.30000000000133,0.0739
11.329166669999994,-98.50000000000155,0.0117
11.329166669999994,-98.40000000000155,0.0117
11.329166669999994,-98.30000000000156,0.0117
11.329166669999994,-98.20000000000157,0.0117
11.329166669999994,-98.10000000000157,0.0117
11.329166669999994,-98.00000000000158,0.0117
11.329166669999994,-97.90000000000158,0.0117
11.329166669999994,-97.80000000000159,0.0117
11.329166669999994,-97.7000000000016,0.0117
11.329166669999994,-97.6000000000016,0.0117
11.329166669999994,-97.5000000000016,0.0117
11.329166669999994,-97.40000000000161,0.0117
11.329166669999994,-97.30000000000162,0.0117
11.329166669999994,-97.20000000000162,0.0117
11.329166669999994,-97.10000000000163,0.0117
11.329166669999994,-97.00000000000163,0.0117
11.329166669999994,-96.90000000000164,0.0117
11.329166669999994,-96.80000000000165,0.0117
11.429166669999994,-103.50000000000126,0.0739
11.429166669999994,-103.40000000000127,0.0739
11.429166669999994,-103.30000000000128,0.0739
11.429166669999994,-103.20000000000128,0.0739
11.429166669999994,-103.10000000000129,0.0739
11.429166669999994,-103.0000000000013,0.0739
11.429166669999994,-102.9000000000013,0.0739
11.429166669999994,-102.8000000000013,0.0739
11.429166669999994,-102.70000000000131,0.0739
11.429166669999994,-102.60000000000132,0.0739
11.429166669999994,-102.50000000000132,0.0739
11.429166669999994,-102.40000000000133,0.0739
11.429166669999994,-98.70000000000154,0.0117
11.429166669999994,-98.60000000000154,0.0117
11.429166669999994,-98.50000000000155,0.0117
11.429166669999994,-98.40000000000155,0.0117
11.429166669999994,-98.30000000000156,0.0117
11.429166669999994,-98.20000000000157,0.0117
11.429166669999994,-98.10000000000157,0.0117
11.429166669999994,-98.00000000000158,0.0117
11.429166669999994,-97.90000000000158,0.0117
11.429166669999994,-97.80000000000159,0.0117
11.429166669999994,-97.7000000000016,0.0117
11.429166669999994,-97.6000000000016,0.0117
11.429166669999994,-97.5000000000016,0.0117
11.429166669999994,-97.40000000000161,0.0117
11.429166669999994,-97.30000000000162,0.0117
11.429166669999994,-97.20000000000162,0.0117
11.429166669999994,-97.10000000000163,0.0117
11.529166669999993,-103.70000000000125,0.0739
11.529166669999993,-103.60000000000126,0.0739
11.529166669999993,-103.50000000000126,0.0739
11.529166669999993,-103.40000000000127,0.0739
11.529166669999993,-103.30000000000128,0.0739
11.529166669999993,-103.20000000000128,0.0739
11.529166669999993,-103.10000000000129,0.0739
11.529166669999993,-103.0000000000013,0.0739
11.529166669999993,-102.9000000000013,0.0739
11.529166669999993,-102.8000000000013,0.0739
11.529166669999993,-102.70000000000131,0.0739
11.529166669999993,-102.60000000000132,0.0739
11.529166669999993,-99.00000000000152,0.0117
11.529166669999993,-98.90000000000153,0.0117
11.529166669999993,-98.80000000000153,0.0117
11.529166669999993,-98.70000000000154,0.0117
11.529166669999993,-98.60000000000154,0.0117
11.529166669999993,-98.50000000000155,0.0117
11.529166669999993,-98.40000000000155,0.0117
11.529166669999993,-98.30000000000156,0.0117
11.529166669999993,-98.20000000000157,0.0117
11.529166669999993,-98.10000000000157,0.0117
11.529166669999993,-98.00000000000158,0.0117
11.529166669999993,-97.90000000000158,0.0117
11.529166669999993,-97.80000000000159,0.0117
11.529166669999993,-97.7000000000016,0.0117
11.529166669999993,-97.6000000000016,0.0117
